id, latitude, longitude, elevation, type, name, du, no, latd, latm, lond, lonm, unknown1, unknown2, unknown3, year, unknown4, unknown5, unknown6, provenance
'WAR',47.3,306.0,16,0,'ARGENTIA','',71807,47,18,54,0,31.35,17.04,'1110',1949,1,'---TW',4,'~afsisio/data/constants/mcanstn'
'WDI',48.9666666,303.9333334,105,0,'BADGER','',71400,48,58,56,4,30.74,17.33,'1110',1971,1,'NVRTW',4,'~afsisio/data/constants/mcanstn'
'WVA',48.6666666,306.8833334,27,0,'BONAVISTA','',71196,48,40,53,7,31.32,17.5,'1110',1959,1,'',4,'~afsisio/data/constants/mcanstn'
'WBF',47.6166666,302.3833334,12,0,'BURGEO','',71194,47,37,57,37,30.61,16.81,'1110',1966,1,'',4,'~afsisio/data/constants/mcanstn'
'WRA',46.65,306.9333334,28,0,'CAPE RACE','',71800,46,39,53,4,31.62,16.94,'1110',1977,1,'--RTW',4,'~afsisio/data/constants/mcanstn'
'WCA',53.7,302.9666667,14,0,'CARTWRIGHT','',71818,53,42,57,2,29.99,18.58,'0110',1963,1,'',4,'~afsisio/data/constants/mcanstn'
'ZUM',53.5666666,295.9,440,0,'CHURCHILL FALLS','',71182,53,34,64,6,28.81,18.12,'1110',1968,1,'',4,'~afsisio/data/constants/mcanstn'
'WDH',50.2333333,302.4166667,20,0,'DANIELS HARBOUR','',71185,50,14,57,35,30.3,17.57,'1110',1949,1,'',4,'~afsisio/data/constants/mcanstn'
'YDF',49.2166666,302.6166667,22,0,'DEER LAKE','',71809,49,13,57,23,30.46,17.29,'0110',1965,1,'',4,'~afsisio/data/constants/mcanstn'
'YQX',48.95,305.4333334,151,0,'GANDER INTL','',71803,48,57,54,34,31.02,17.45,'0110',1949,1,'',4,'~afsisio/data/constants/mcanstn'
'YYR',53.3166666,299.5666667,49,0,'GOOSE','',71816,53,19,60,26,29.46,18.25,'0110',1949,1,'',4,'~afsisio/data/constants/mcanstn'
'WHO',55.45,299.7833334,12,0,'HOPEDALE','',71900,55,27,60,13,29.28,18.87,'1110',1949,1,'---TW',4,'~afsisio/data/constants/mcanstn'
'YMH',52.3,304.1666667,9,0,'MARY''S HARBOUR','',71817,52,18,55,50,30.36,18.28,'0100',1982,1,'',4,'~afsisio/data/constants/mcanstn'
