stationalphaid, latitude, longitude, terrainelevation, unknown1, stationname, stationintlid, stationintlid2, unknown2, inputfile
'YVR',49.195722,236.816111,0.014,NULL,'VANCOUVER, BC',71892,NULL,'V 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYF',49.4625,240.397778,1.13,NULL,'PENTICTON, BC',71889,NULL,'V 2','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YXC',49.612222,244.218056,3.084,NULL,'CRANBROOKE, BC',71880,NULL,'V 2','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYC',51.113889,245.979722,3.557,NULL,'CALGARY, ALBERTA',71877,NULL,'E 3','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YQL',49.630278,247.200278,3.048,NULL,'LETHBRIDGE, ALBERTA',71874,NULL,'E 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YEA',50.933333,249.986944,2.211,NULL,'EMPRESS, ALBERTA',NULL,NULL,'E 3','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YZP',53.254167,228.186111,0.021,NULL,'SANDSPIT, BC',71101,NULL,'V 3','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YZT',50.680556,232.633333,0.071,2,'PORT HARDY, BC',71109,NULL,'V 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YPU',52.112778,235.855278,2.985,NULL,'PUNZI MOUNTAIN, BC',71050,NULL,'V 4','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YXS',53.884167,237.3225,2.266,2,'PRINCE GEORGE, BC',71896,NULL,'V 4','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYD',54.825278,232.817222,1.716,NULL,'SMITHERS, BC',71950,NULL,'V 4','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YDL',58.422222,229.967778,2.634,NULL,'DEASE LAKE, BC',71958,NULL,'Y 2','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YKA',50.7025,239.551389,1.133,2,'KAMLOOPS, BC',71115,71887,'V 2','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YJA',52.996667,241.940556,3.35,NULL,'JASPER, ALBERTA',71888,NULL,'E 4','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YEG',53.309722,246.420278,2.373,2,'EDMONTON, ALBERTA',71119,71123,'E 5','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YXE',52.170833,253.300278,1.654,NULL,'SASKATOON, SASK',71866,NULL,'R 5','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YZH',55.293056,245.222778,1.912,NULL,'SLAVE LAKE, ALBERTA',71069,NULL,'E 9','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YXJ',56.238056,239.259722,2.28,NULL,'FORT ST. JOHN, BC',71943,NULL,'E 6','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YYE',58.836389,237.403056,1.253,2,'FORT NELSON, BC',71945,NULL,'E 7','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YQH',60.116389,231.1775,2.255,NULL,'WATSON LAKE, YT',71953,NULL,'Y 3','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YXY',60.709444,224.932778,2.317,2,'WHITEHORSE, YT',71964,NULL,'Y 2','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YDB',61.370556,220.96,2.642,NULL,'BURWASH, YT',71967,NULL,'Y 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YMA',63.616389,224.131667,1.653,NULL,'MAYO, YT',71965,NULL,'Y 4','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YOC',67.57,220.16,0.821,NULL,'OLD CROW, YT',NULL,NULL,'Y 6','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YEV',68.303889,226.516944,0.222,2,'INUVIK, NWT',71957,NULL,'A28','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YVQ',65.281389,233.201389,0.238,2,'NORMAN WELLS, NWT',71043,NULL,'A27','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YFS',61.760278,238.763611,0.556,NULL,'FORT SIMPSON, NWT',71946,NULL,'A21','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YOD',54.405,249.720556,1.775,NULL,'COLD LAKE, ALBERTA',71120,NULL,'E 5','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YMM',56.653333,248.776667,1.211,NULL,'FORT MCMURRAY, ALBERTA',71932,NULL,'E 9','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YOJ',58.621389,242.835278,1.105,NULL,'HIGH LEVEL, ALBERTA',71066,NULL,'E 8','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YSM',60.020278,248.038056,0.671,2,'FORT SMITH, NWT',71934,NULL,'A22','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YZF',62.462778,245.559722,0.675,NULL,'YELLOWKNIFE, NWT',71936,NULL,'A22','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YIX',66.1,242.066667,0.512,NULL,'PORT RADIUM, NWT',71061,NULL,'A30','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YQR',50.432222,255.333889,1.895,NULL,'REGINA, SASK',71863,NULL,'R 3','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YBR',49.91,260.048056,1.343,NULL,'BRANDON, MAN',71140,NULL,'W 1','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
'YWG',49.91,262.76,0.783,NULL,'WINNIPEG, MAN',71852,NULL,'W 2','/users/dor/afsy/pst/.ocm/writerAsciiBulletinFB/datafiles/constants/ffdstns_update_stations_20130410_for_SPOOKI'
