id, latitude, longitude, elevation, type, name, unknown1, no1, no2, unknown2, unknown3, unknown4, unknown5, unknown6, unknown7, unknown8, unknown9, unknown10, unknown11, unknown12, provenance
'Y01',35.0,300.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y02',35.0,305.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y03',40.0,300.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y04',40.0,305.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y05',40.0,310.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y06',40.0,315.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y07',40.0,320.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y08',40.0,325.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y09',40.0,330.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y10',45.0,305.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y11',45.0,310.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y12',45.0,315.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y13',45.0,320.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y14',45.0,325.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y15',45.0,330.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y16',50.0,310.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y17',50.0,315.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y18',50.0,320.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y19',50.0,325.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y20',50.0,330.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y21',55.0,305.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y22',55.0,310.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y23',55.0,315.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y24',55.0,320.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y25',55.0,325.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y26',55.0,330.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y27',60.0,310.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y28',60.0,320.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y29',60.0,330.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y30',65.0,330.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y31',40.0,335.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y32',40.0,340.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y33',40.0,345.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y34',40.0,350.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y35',45.0,335.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y36',45.0,340.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y37',45.0,345.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y38',45.0,350.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y39',50.0,335.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y40',50.0,340.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y41',50.0,345.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y42',50.0,350.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y43',50.0,355.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y44',55.0,335.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y45',55.0,340.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y46',55.0,345.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y47',55.0,350.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y48',55.0,355.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y49',55.0,360.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y50',55.0,5.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y51',60.0,340.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y52',60.0,350.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y53',60.0,360.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y54',60.0,10.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y55',65.0,340.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y56',65.0,350.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y57',65.0,360.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y58',65.0,10.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y59',70.0,360.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
'Y60',70.0,10.0,0,1,'NORTH ATLANTIC',0,71,0,0,'',0,0,0,0,0,0,0,0,0,'~afsisio/data/constants/ffustns'
