stationintlid, stationalphaid , canregcode, stationname, latdegmin, latitudecardinaldirection , londegmin, longitudecardinaldirection , stationelevation, terrainelevation, dataavailabilitycode, stationreliabilityflag
'60000','HESC',NULL,'ST CATHERINE, EG',2841,'N',3404,'E',NULL,1332,'1','1'
'60000','DTNZ',NULL,'ZINE EL ABIDINE BEN ALI',3605,'N',1026,'E',NULL,4,'2','2'
'60000','DTMB',NULL,'HABIB BOURGUIBA',3546,'N',1045,'E',NULL,2,'2','1'
'60000','GMML',NULL,'LAAYOUNE/HASSAN ISL',2708,'N',1313,'W',6,NULL,'2','1'
'60000','GMMW',NULL,'NADOR ARWI',3459,'N',302,'E',175,NULL,'2','1'
'60000','GMAG',NULL,'GUELMIME NATL, MO',2902,'N',1003,'W',NULL,341,'2','1'
'60000','GMMB',NULL,'BENSLIMANE NATL, MO',3339,'N',713,'W',NULL,191,'2','1'
'60000','GMFB',NULL,'BOUARFA NATL, MO',3231,'N',159,'W',NULL,1120,'1','1'
'60000','GMMH',NULL,'DAKHLA INTL, WI',2343,'N',1556,'W',NULL,11,'2','1'
'60000','GCGM',NULL,'LA GOMERA, ES',2802,'N',1713,'W',NULL,218,'2','1'
'60001','GCHI',NULL,'HIERRO/AEROPUERTO, ES (AUT)',2749,'N',1753,'W',32,32,'2','1'
'60005','GCLA',NULL,'LA PALMA/AEROPUERTO, ES (AUT)',2837,'N',1745,'W',31,29,'2','1'
'60007',NULL,NULL,'LA GOMERA/AEROPUERTO, ES',2802,'N',1713,'W',225,219,'2','1'
'60010',NULL,NULL,'IZANA, ES (AUT)',2819,'N',1630,'W',2368,2371,'1','1'
'60015','GCXO',NULL,'TENERIFE/LOS RODEOS, ES (AUT)',2828,'N',1619,'W',617,632,'1','1'
'60018',NULL,NULL,'TENERIFE-GUIMAR, ES',2819,'N',1623,'W',111,105,'1','1'
'60020',NULL,NULL,'SANTA CRUZ DE TENERIFE CMZ',2827,'N',1615,'W',36,35,'2','1'
'60025','GCTS',NULL,'TENERIFE SUR, ES',2803,'N',1634,'W',77,64,'2','1'
'60028',NULL,NULL,'ARTENARA',2801,'N',1537,'W',NULL,1681,'1','1'
'60030','GCLP',NULL,'LAS PALMAS DE GRAN CANARIA/GANDO,CR',2756,'N',1523,'W',47,24,'2','1'
'60033','GSAI',NULL,'LAAYOUNE',2710,'N',1313,'W',64,63,'2','1'
'60035','GCFV',NULL,'FUERTEVENTURA/AEROPUERTO, ES (AUT)',2827,'N',1352,'W',30,22,'2','1'
'60040','GCRR',NULL,'LANZAROTE/AEROPUERTO, ES (AUT)',2857,'N',1336,'W',21,14,'2','1'
