StationIntlId,StationAlphaId,CanRegCode,StationName,Latitude,Longitude,StationElevation,TerrainElevation,FictiveStationFlag,SpookiStationKey,ProductName
71000,CYGW,2,'KUUJJUARAPIK A  QC',55.4533333333333,-78.2,10,10,0,71000CYGW5517N7745W,[FB]
71000,CYAB,4,'ARCTIC BAY  NU CA',73,-85.0533333333333,22,22,0,71000CYAB7300N8502W,[FB]
71000,CYSC,2,'SHERBROOKE  QC CA',45.6933333333333,-72.0933333333333,241,241,0,71000CYSC4526N7141W,[FB]
71000,CYDL,6,'DEASE LAKE LWIS BC (AU5)',58.6666666666667,-130.053333333333,,793,0,71000CYDL5825N13002W,[FB]
71000,CYLT,5,'ALERT AIRPORT  NT CA',82.8266666666667,-62.4533333333333,31,31,0,71000CYLT8231N6217W,[FB]
71000,CYHA,2,'QUAQTAQ  QC',61.08,-69.9866666666667,,32,0,71000CYHA6103N6937W,[FB]
71000,CYSY,5,'SACHS HARBOUR A  NT',72,-125.426666666667,90,86,0,71000CYSY7200N12516W,[FB]
71000,CYZV,2,'SEPT-ILES A QC',50.3466666666667,-66.4266666666667,70,55,0,71000CYZV5013N6616W,[FB]
71000,CYDB,6,'BURWASH YT (AUT)',61.5866666666667,-139.08,807,807,0,71000CYDB6122N13903W,[FB]
71000,CYOC,6,'OLD CROW  A  YT',67.9066666666667,-140.333333333333,251,251,0,71000CYOC6734N13950W,[FB]
71000,CYZG,2,'SALLUIT A  QC',62.2933333333333,-76.0666666666667,226,,0,71000CYZG6211N7540W,[FB]
71000,CYNC,2,'WEMINDJI A  QC',53.0266666666667,-79.3333333333333,,20,0,71000CYNC5301N7850W,[FB]
71043,CYVQ,5,'NORMAN WELLS A  NT',65.4266666666667,-127.28,78,74,0,71043CYVQ6516N12648W,[FB]
71050,WPU,6,'PUNTZI MOUNTAIN BC (AU8)',52.16,-124.213333333333,,910,0,71050WPU5206N12408W,[FB]
71066,CYOJ,5,'HIGH LEVEL A  AB',58.9866666666667,-117.24,,338,0,71066CYOJ5837N11709W,[FB]
71069,CYZH,5,'SLAVE LAKE AB (AUT)',55.48,-115.253333333333,583,,0,71069CYZH5518N11447W,[FB]
71074,WIC,5,'ISACHSEN NU (AU8)',79.2533333333333,-103.88,,58,0,71074WIC7847N10333W,[FB]
71078,CYYL,4,'LYNN LAKE A  MB',57.36,-101.106666666667,354,357,0,71078CYYL5651N10104W,[FB]
71081,CYUX,4,'HALL BEACH A NU (AU5)',69.2533333333333,-81.4,9,9,0,71081CYUX6847N8115W,[FB]
71083,CYRT,4,'RANKIN INLET A  NU',63.28,-92.1866666666667,32,29,0,71083CYRT6248N9207W,[FB]
71092,CWUW,7,'DEWAR LAKES NU (AU5)',69.04,-71.2666666666667,527,527,0,71092CWUW6839N7110W,[FB]
71094,CWFD,7,'CAPE DYER NU (AU5)',67.04,-61.6133333333333,,725,0,71094CWFD6639N6123W,[FB]
71109,CYZT,6,'PORT HARDY A  BC',51.0666666666667,-127.56,24,22,0,71109CYZT5040N12721W,[FB]
71111,CYZP,6,'SANDSPIT  BC',53.4,-132.306666666667,6,6,0,71111CYZP5315N13149W,[FB]
71120,CYOD,7,'COLD LAKE A  AB',54.6666666666667,-110.453333333333,,541,0,71120CYOD5425N11017W,[FB]
71123,CYEG,5,'EDMONTON INT A  AB',53.5066666666667,-113.933333333333,,723,0,71123CYEG5319N11335W,[FB]
71140,CYBR,4,'BRANDON A  MB',50.4666666666667,-100.52,,409,0,71140CYBR4955N9957W,[FB]
71158,WCF,4,'BERENS RIVER CS MB (AU8)',52.56,-97.0533333333333,,222,0,71158WCF5221N9702W,[FB]
71188,CYGP,2,'GASPE A  QC',49.2266666666667,-64.7466666666667,,33,0,71188CYGP4846N6428W,[FB]
71260,CYAM,3,'SAULT STE MARIE A  ON',46.7733333333333,-84.8,195,192,0,71260CYAM4629N8430W,[FB]
71267,CYQL,5,'LETHBRIDGE  AB AC',50.0133333333333,-113.28,929,929,0,71267CYQL4938N11248W,[FB]
71306,CYPH,2,'INUKJUAK  QC CA',58.7466666666667,-78.1333333333333,25,25,0,71306CYPH5828N7805W,[FB]
71335,CWZZ,7,'SAGLEK NL (AU5)',58.5333333333333,-62.9333333333333,516,501,0,71335CWZZ5820N6235W,[FB]
71395,CYHZ,1,'HALIFAX INTL AIRPORT  NS',45.4133333333333,-63.8266666666667,158,145,0,71395CYHZ4453N6331W,[FB]
71398,CYMO,3,'MOOSONEE  ON',51.4533333333333,-80.96,,9,0,71398CYMO5117N8036W,[FB]
71421,WEO,2,'LAC EON QC (AU8)',52.3866666666667,-63.4533333333333,,589,0,71421WEO5152N6317W,[FB]
71486,WJW,5,'JASPER-WARDEN AB (AU8)',53.4933333333333,-118.053333333333,1020,1020,0,71486WJW5256N11802W,[FB]
71513,CYNA,2,'NATASHQUAN  QC',50.2933333333333,-62.2533333333333,,11,0,71513CYNA5011N6147W,[FB]
71538,CYQG,3,'WINDSOR A  ON',42.4266666666667,-83.52,195,190,0,71538CYQG4216N8257W,[FB]
71580,CYYH,4,'TALOYOAK A  NU',69.8533333333333,-93.9066666666667,,28,0,71580CYYH6932N9334W,[FB]
71600,CWSA,1,'SABLE ISLAND NS (WS2)',44.4933333333333,-60.0266666666667,4,4,0,71600CWSA4356N6001W,[FB]
71603,CYQI,1,'YARMOUTH A  NS',44.3066666666667,-66.1333333333333,43,43,0,71603CYQI4349N6605W,[FB]
71618,CYYQ,4,'CHURCHILL  MB',59.1733333333333,-94.08,,29,0,71618CYYQ5844N9403W,[FB]
71624,CYYZ,3,'TORONTO LESTER B PEARSON A  ON',44.0666666666667,-79.9866666666667,164,173,0,71624CYYZ4340N7937W,[FB]
71627,CYUL,2,'MONTREAL/PIERRE E TRUDEAU INTL A QC',45.7466666666667,-74.2,,36,0,71627CYUL4528N7345W,[FB]
71628,CYOW,3,'OTTAWA MACDONALD-CARTIER INT A ON',45.5066666666667,-76.0666666666667,,114,0,71628CYOW4519N7540W,[FB]
71633,CYVV,3,'WIARTON A  ON',45.2,-81.16,,222,0,71633CYVV4445N8106W,[FB]
71700,CYFC,1,'FREDERICTON A  NB',46.3866666666667,-66.8533333333333,,21,0,71700CYFC4552N6632W,[FB]
71705,CYQM,1,'MONCTON A  NB',46.16,-65.0933333333333,,71,0,71705CYQM4606N6441W,[FB]
71707,CYQY,1,'SYDNEY A  NS',46.2666666666667,-60.0533333333333,72,62,0,71707CYQY4610N6002W,[FB]
71708,CYQB,2,QUEBEC/JEAN LESAGE INTNL A QC,47.28,-71.6133333333333,73,74,0,71708CYQB4648N7123W,[FB]
71709,CYGR,2,'ILES DE LA MADELEINE A  QC',47.6666666666667,-62.2533333333333,18,11,0,71709CYGR4725N6147W,[FB]
71715,WNH,2,'RIVIERE DU LOUP QC (AU8)',48.28,-69.8533333333333,,147,0,71715WNH4748N6932W,[FB]
71718,CYYY,2,'MONT JOLI A  QC',48.96,-68.3466666666667,,52,0,71718CYYY4836N6813W,[FB]
