nomvar,description_fr,description_en,unit
!!,Descripteur de coordonnée vericale, Vertical coordinate descriptor,scalar
++,Réservé pour usage futur,Reserved for Future Use,scalar
1A,Albedo visible,Visible Albedo,percent
1P,Pression à la tropopause,Tropopause pressure,hectoPascal
1T,Température de la tropopause,Temperature at the tropopause,celsius
1Z,Hauteur de la Tropopause,Tropopause height,kilometer
2A,Latitude,Latitude,degree
2B,Longueur de rugosite,Roughness Length,meter
2F,Masque de Glacier,Glacier ice mask,scalar
2Z,Hauteur de la tropopause (edyntrp-glbdiag),Tropopause height (edyntrp-glbdiag),foot
3A,Longitude,Longitude,degree
3G,Anomolie de geopotential a 500 hpa en 3 classes,500 hpa Geopotential anomaly in 3 classes,scalar
3N,Anomolie de pression au niveau de la mer en 3 classes,Mean sea level pressure anomaly in 3 classes,scalar
3P,Anomalie de précipitations en 3 classes,Precipitation anomaly in 3 classes,scalar
3T,Anomalie de Température en 3 classes,Temperature anomaly in 3 classes,scalar
3U,Anomolie de composante U du vent en 3 classes,Wind anomaly (U component) in 3 classes,scalar
3V,Anomolie de composante V du vent en 3 classes,Wind anomaly (V component) in 3 classes,scalar
3Z,Anomolie d''epaisseur 1000-500 hpa en 3 classes,1000-500 hpa Thickness anomaly in 3 classes,scalar
4A,Couverture de la glace oceanique,Oceanic Ice Cover,scalar
5A,Volume du sol Contenu d''eau,Soil Volume Water Content,percent
5P,Fraction de grille couvert par la neige,Fraction of grid covered by snow,scalar
6A,Masque Terre/Mer,Land/Sea Mask,scalar
7A,Profondeur de Neige,Snow Depth,centimeter
8A,Temperature SST,SST Temperature,kelvin
9A,Temperature de la Surface (Intervalle de temps = zero),Surface Temperature at zero timestep,kelvin
>>,Position horizontale dans une grille Y ou Z,Horizontal position in a Y or Z grid,scalar
A1,Accumulation des précipitations liquides convectives,Accumulation of convective liquid precipitation,meter
A2,Accumulation des précipitations liquides stratiformes,Accumulation of stratiform liquid precipitation,meter
A3,Accumulation des précipitations solides convectives,Accumulation of convective solid precipitation,meter
A4,Accumulation des Precipitations solides Stratiformes,Accumulation of stratiform solid precipitation,meter
AA,Aérosols d''ammonium (NH4),Ammonium aerosols (NH4),parts_per_billion
AB,Flux vsbl accumulé entrant dans l''atmosphère (IV accumulé),Incoming visible accumulated flux (accumulated IV),joule_per_squareMeter
AC,Concentration de particules ( Diam < 10 Microns),Particulate concentration ( Diam < 10 Microns),microgram_per_cubicMeter
ACCU,Accumulateur pour calculs divers,Accumulator for diverse calculations,scalar
AD,Flux I.R accumulé arrivant à la surface (FI accumule),Incoming I.R. accumulated flux (accumulated FI),joule_per_squareMeter
AE,Accumulation Totale des Precipitations Stratiformes,Total Accumulated Stratiform Precipitation,meter
AF,Concentration de particules fines (Diam. < 2.5 Microns),Concentration of fine particulate (Diam. < 2.5 Microns),microgram_per_cubicMeter
AFSD,FSD accumule (cccmarad),Accumulated FSD (cccmarad),joule_per_squareMeter
AFSF,FSF accumule (cccmarad),Accumulated FSF (cccmarad),joule_per_squareMeter
AFSI,FSI accumule (cccmarad),Accumulated FSI (cccmarad),joule_per_squareMeter
AFSV,FSV accumule (cccmarad),Accumulated FSV (cccmarad),joule_per_squareMeter
