name,symbol,expression,bias,factor,mass,length,time,electricCurrent,temperature,amountOfSubstance,luminousIntensity
kilogram,kg,kg,0.0,1.0,1,0,0,0,0,0,0
kilogram_per_kilogram,kg/kg,kg/kg,0.0,1.0,0,0,0,0,0,0,0
gram_per_gram,g/g,kg/kg,0.0,1.0,0,0,0,0,0,0,0
gram_per_kilogram,g/kg,kg/kg,0.0,0.001,0,0,0,0,0,0,0
kilogram_per_gram,kg/g,kg/kg,0.0,1000.0,0,0,0,0,0,0,0
microgram_per_gram,ug/g,kg/kg,0.0,1.0e-06,0,0,0,0,0,0,0
microgram_per_kilogram,ug/kg,kg/kg,0.0,1.0e-09,0,0,0,0,0,0,0
gram,g,kg,0.0,0.001,1,0,0,0,0,0,0
gram_per_second,g/s,kg/s,0.0,0.001,1,0,-1,0,0,0,0
pound,lb,kg,0.0,0.45359237,1,0,0,0,0,0,0
metricTon,t,kg,0.0,1000.0,1,0,0,0,0,0,0
meter,m,m,0.0,1.0,0,1,0,0,0,0,0
centimeter,cm,m,0.0,0.01,0,1,0,0,0,0,0
millimeter,mm,m,0.0,0.001,0,1,0,0,0,0,0
foot,ft,m,0.0,0.3048,0,1,0,0,0,0,0
hundredsOfFeet,ft,m,0.0,30.48,0,1,0,0,0,0,0
inch,in,m,0.0,0.0254,0,1,0,0,0,0,0
decimeter,dm,m,0.0,0.1,0,1,0,0,0,0,0
decameter,dam,m,0.0,10.0,0,1,0,0,0,0,0
kilometer,km,m,0.0,1000.0,0,1,0,0,0,0,0
nauticalMile,nmi,m,0.0,1852.0,0,1,0,0,0,0,0
inverseMeter,1/m,m^(-1),0.0,1.0,0,-1,0,0,0,0,0
second,s,s,0.0,1.0,0,0,1,0,0,0,0
second_per_meter,s/m,m^(-1)·s,0.0,1.0,0,-1,1,0,0,0,0
squareSecond_per_meter,s2/m,m^(-1)·s^(2),0.0,1.0,0,-1,2,0,0,0,0
minute,min,s,0.0,60.0,0,0,1,0,0,0,0
hour,h,s,0.0,3600.0,0,0,1,0,0,0,0
day,d,s,0.0,86400.0,0,0,1,0,0,0,0
inverseSecond,1/s,s^(-1),0.0,1.0,0,0,-1,0,0,0,0
inverseSquareSecond,1/s2,s^(-2),0.0,1.0,0,0,-2,0,0,0,0
ampere,A,A,0.0,1.0,0,0,0,1,0,0,0
kelvin,K,K,0.0,1.0,0,0,0,0,1,0,0
celsius,°C,K,273.15,1.0,0,0,0,0,1,0,0
fahrenheit,°F,K,459.67,0.5555555555,0,0,0,0,1,0,0
rankine,°R,K,0.0,0.5555555555,0,0,0,0,1,0,0
mole,mol,mol,0.0,1.0,0,0,0,0,0,1,0
candela,cd,cd,0.0,1.0,0,0,0,0,0,0,1
scalar,,,0.0,1.0,0,0,0,0,0,0,0
dobson,DU,,0.0,1.0,0,0,0,0,0,0,0
kelvin_per_second,K/s,K·s^(-1),0.0,1.0,0,0,-1,0,1,0,0
kelvin_per_day,K/d,K·s^(-1),0.0,1.15740741e-05,0,0,-1,0,1,0,0
meter_per_second_per_day,m/s/d,m·s^(-2),0.0,1.15740741e-05,0,1,-2,0,0,0,0
decibelsOfZ,dbZ,,0.0,1.0,0,0,0,0,0,0,0
parts_per_billion,ppb,,0.0,1.0,0,0,0,0,0,0,0
code,,,0.0,1.0,0,0,0,0,0,0,0
percent,%,,0.0,1.0,0,0,0,0,0,0,0
percent_per_cubicMeter,%/m3,,0.0,1.0,0,-3,0,0,0,0,0
degree,°,,0.0,1.0,0,0,0,0,0,0,0
squareMeter_per_squareMeter,m2/m2,m^(2).m^(-2),0.0,1.0,0,0,0,0,0,0,0
cubicMeter_per_cubicMeter,m3/m3,m^(3).m^(-3),0.0,1.0,0,0,0,0,0,0,0
squareMeter,m2,m^(2),0.0,1.0,0,2,0,0,0,0,0
squareMeter_per_second,m2/s,m^(2)·s^(-1),0.0,1.0,0,2,-1,0,0,0,0
squareMeter_per_secondSquared,m2/s2,m^(2)·s^(-2),0.0,1.0,0,2,-2,0,0,0,0
squareMeter_per_cubicSecond,m2/s3,m^(2)·s^(-3),0.0,1.0,0,2,-3,0,0,0,0
verticalShear,1/s,s^(-1),0.0,1.0,0,0,-1,0,0,0,0
divergence,1/s,s^(-1),0.0,1.0,0,0,-1,0,0,0,0
cubicMeter,m3,m^(3),0.0,1.0,0,3,0,0,0,0,0
inverseCubicMeter,1/m3,m^(-3),0.0,1.0,0,-3,0,0,0,0,0
liter,L,m^(3),0.0,0.001,0,3,0,0,0,0,0
meter_per_secondSquared,m/s2,m·s^(-2),0.0,1.0,0,1,-2,0,0,0,0
knotHour,kt·h,m,0.0,1852.0,0,1,0,0,0,0,0
meter_per_second,m/s,m·s^(-1),0.0,1.0,0,1,-1,0,0,0,0
kilometer_per_hour,km/h,m·s^(-1),0.0,0.277777778,0,1,-1,0,0,0,0
kilometer_per_second,km/s,m·s^(-1),0.0,1000.0,0,1,-1,0,0,0,0
knot,kt,m·s^(-1),0.0,0.514444444,0,1,-1,0,0,0,0
mile_per_hour,mph,m·s^(-1),0.0,0.44704,0,1,-1,0,0,0,0
meters_per_secondSquared,m/s2,m·s^(-2),0.0,1.0,0,1,-2,0,0,0,0
