nomvar,ip1,ip3,usage,origin,pack,date,short_fr_desc,short_en_desc,long_fr_desc,long_en_desc,type,units,precision,min,max,magnitude,value,meaning_fr,meaning_en
DPDT,,,current,,,2018-10-10,Tendance locale de pression,Local pressure tendency,Dérivée local temporelle de la pression,Local time derivative of pressure,real,Pa/s,,,,,,,
URBF,,,current,TEB,,2018-10-10,Densité urbaine,Urban fraction,Densité des bâtiments et des surfaces imperméables dans le point de grille. À noter: URBF = PAVF + BLDF,Density of buildings and impervious surfaces within the grid cell. Note: URBF = PAVF + BLDF,real,fraction,,0.0,1.0,,,,
PAVF,,,current,TEB,,2018-10-10,Densité de route,Road fraction,Densité des surfaces pavées ou imperméables dans le point de grille.,Density of paved or impervious surfaces within the grid cell.,real,fraction,,0.0,1.0,,,,
BLDF,,,current,TEB,,2018-10-10,Densité de bâtiments,Building fraction,Densité des bâtiments dans le point de grille.,Density of buildings within the grid cell.,real,fraction,,0.0,1.0,,,,
BLDH,,,current,TEB,,2018-10-10,Hauteur des bâtiments,Building height,Hauteur moyenne des bâtiments dans le point de grille,Mean building height within the grid cell.,real,m,,0.0,,,,,
WHOR,,,current,TEB,,2018-10-10,Ratio entre les surfaces verticales et horizontales,Ratio of vertical to horizontal areas,Paramètre représentant la morphologie des rues.,Parameter describing the street morphology,real,nil,,0.0,,,,,
ALRD,,,current,TEB,,2018-10-10,Albedo des routes,Road albedo,Albédo moyen des surfaces imperméables,Mean albedo for impervious surfaces,real,fraction,,0.0,1.0,,,,
ALRF,,,current,TEB,,2018-10-10,Albedo des toits,Roof albedo,Albédo moyen des toits des bâtiments,Mean albedo for the roofs of buildings,real,fraction,,0.0,1.0,,,,
ALWL,,,current,TEB,,2018-10-10,Albedo des murs,Wall albedo,Albédo moyen des murs des bâtiments,Mean albedo for the walls of buildings,real,fraction,,0.0,1.0,,,,
DPRD,1199,,current,TEB,,2018-10-10,Épaisseur des couches de routes (contact avec l'atmosphère),Depth of the road layers (contact with the atmosphere),Épaisseur moyenne des couches de matériaux composant les surfaces imperméables (contact avec l'atmosphère),Mean depth of the layers of materials for impervious surfaces (contact with the atmosphere),real,m,,,,,,,
DPRD,1198,,current,TEB,,2018-10-10,Épaisseur des couches de routes (couche intermédiaire),Depth of the road layers (intermediate layer),Épaisseur moyenne des couches de matériaux composant les surfaces imperméables (couche intermédiaire),Mean depth of the layers of materials for impervious surfaces (intermediate layer),real,m,,,,,,,
DPRD,1197,,current,TEB,,2018-10-10,Épaisseur des couches de routes (couche profonde),Depth of the road layers (deep layer),Épaisseur moyenne des couches de matériaux composant les surfaces imperméables (couche profonde),Mean depth of the layers of materials for impervious surfaces (deep layer),real,m,,,,,,,
DPRF,1199,,current,TEB,,2018-10-10,Épaisseur des couches des toits (contact avec l'atmosphère),Depth of the roof layers (contact with the atmosphere),Épaisseur moyenne des couches de matériaux composant les toits des bâtiments (contact avec l'atmosphère),Mean depth of the layers of materials for the roofs of buildings (contact with the atmosphere),real,m,,,,,,,
DPRF,1198,,current,TEB,,2018-10-10,Épaisseur des couches des toits (couche intermédiaire),Depth of the roof layers (intermediate layer),Épaisseur moyenne des couches de matériaux composant les toits des bâtiments (couche intermédiaire),Mean depth of the layers of materials for the roofs of buildings (intermediate layer),real,m,,,,,,,
DPRF,1197,,current,TEB,,2018-10-10,Épaisseur des couches des toits (contact avec intérieur du bâtiment),Depth of the roof layers (contact with the building interior),Épaisseur moyenne des couches de matériaux composant les toits des bâtiments (contact avec intérieur du bâtiment),Mean depth of the layers of materials for the roofs of buildings (contact with the interior of the building),real,m,,,,,,,
DPWL,1199,,current,TEB,,2018-10-10,Épaisseur des couches des murs (contact avec l'atmosphère),Depth of the wall layers (contact with the atmosphere),Épaisseur moyenne des couches de matériaux composant les murs des bâtiments (contact avec l'atmosphère),Mean depth of the layers of materials for the walls of buildings (contact with the atmosphere),real,m,,,,,,,
DPWL,1198,,current,TEB,,2018-10-10,Épaisseur des couches des murs (couche intermédiaire),Depth of the wall layers (intermediate layer),Épaisseur moyenne des couches de matériaux composant les walls des bâtiments (couche intermédiaire),Mean depth of the layers of materials for the walls of buildings (intermediate layer),real,m,,,,,,,
DPWL,1197,,current,TEB,,2018-10-10,Épaisseur des couches des murs (contact avec intérieur du bâtiment),Depth of the wall layers (contact with the building interior),Épaisseur moyenne des couches de matériaux composant les walls des bâtiments (contact avec intérieur du bâtiment),Mean depth of the layers of materials for the walls of buildings (contact with the interior of the building),real,m,,,,,,,
EMRD,,,current,TEB,,2018-10-10,Émissivité des routes,Road emissivity,Émissivité moyenne des surfaces imperméables,Mean emissivity of impervious surfaces,real,nil,,0.0,1.0,,,,
EMRF,,,current,TEB,,2018-10-10,Émissivité des toits,Roof emissivity,Émissivité moyenne des toits des bâtiments,Mean emissivity of the roofs of buildings,real,nil,,0.0,1.0,,,,
EMWL,,,current,TEB,,2018-10-10,Émissivité des murs,Wall emissivity,Émissivité moyenne des murs des bâtiments,Mean emissivity of the walls of buildings,real,nil,,0.0,1.0,,,,
HCRD,1199,,current,TEB,,2018-10-10,Capacité thermique des routes (contact avec l'atmosphère),Heat capacity of the roads (contact with the atmosphere),Capacité thermique moyenne des couches de matériaux composant les surfaces imperméables (contact avec l'atmosphère),Mean thermal capacity of the layers of materials for impervious surfaces (contact with the atmosphere),real,J m⁻³ K⁻¹,,,,,,,
HCRD,1198,,current,TEB,,2018-10-10,Capacité thermique des routes (couche intermédiaire),Heat capacity of the roads (intermediate layer),Capacité thermique moyenne des couches de matériaux composant les surfaces imperméables (couche intermédiaire),Mean thermal capacity of the layers of materials for impervious surfaces (intermediate layer),real,J m⁻³ K⁻¹,,,,,,,
HCRD,1197,,current,TEB,,2018-10-10,Capacité thermique des routes (couche profonde),Heat capacity of the roads (deep layer),Capacité thermique moyenne des couches de matériaux composant les surfaces imperméables (couche profonde),Mean thermal capacity of the layers of materials for impervious surfaces (deep layer),real,J m⁻³ K⁻¹,,,,,,,
HCRF,1199,,current,TEB,,2018-10-10,Capacité thermique des toits (contact avec l'atmosphère),Heat capacity of the roofs (contact with the atmosphere),Capacité thermique moyenne des couches de matériaux composant les toits des bâtiments (contact avec l'atmosphère),Mean thermal capacity of the layers of materials for the roofs of buildings (contact with the atmosphere),real,J m⁻³ K⁻¹,,,,,,,
HCRF,1198,,current,TEB,,2018-10-10,Capacité thermique des toits (couche intermédiaire),Heat capacity of the roofs (intermediate layer),Capacité thermique moyenne des couches de matériaux composant les toits des bâtiments (couche intermédiaire),Mean thermal capacity of the layers of materials for the roofs of buildings (intermediate layer),real,J m⁻³ K⁻¹,,,,,,,
HCRF,1197,,current,TEB,,2018-10-10,Capacité thermique des toits (contact avec intérieur du bâtiment),Heat capacity of the roofs (contact with the building interior),Capacité thermique moyenne des couches de matériaux composant les toits des bâtiments (contact avec intérieur du bâtiment),Mean thermal capacity of the layers of materials for the roofs of buildings (contact with the interior of the building),real,J m⁻³ K⁻¹,,,,,,,
HCWL,1199,,current,TEB,,2018-10-10,Capacité thermique des murs (contact avec l'atmosphère),Heat capacity of the walls (contact with the atmosphere),Capacité thermique moyenne des couches de matériaux composant les murs des bâtiments (contact avec l'atmosphère),Mean thermal capacity of the layers of materials for the walls of buildings (contact with the atmosphere),real,J m⁻³ K⁻¹,,,,,,,
HCWL,1198,,current,TEB,,2018-10-10,Capacité thermique des murs (couche intermédiaire),Heat capacity of the walls (intermediate layer),Capacité thermique moyenne des couches de matériaux composant les murs des bâtiments (couche intermédiaire),Mean thermal capacity of the layers of materials for the walls of buildings (intermediate layer),real,J m⁻³ K⁻¹,,,,,,,
HCWL,1197,,current,TEB,,2018-10-10,Capacité thermique des murs (contact avec intérieur du bâtiment),Heat capacity of the walls (contact with the building interior),Capacité thermique moyenne des couches de matériaux composant les murs des bâtiments (contact avec intérieur du bâtiment),Mean thermal capacity of the layers of materials for the walls of buildings (contact with the interior of the building),real,J m⁻³ K⁻¹,,,,,,,
TCRD,1199,,current,TEB,,2018-10-10,Conductivité thermique des routes (contact avec l'atmosphère),Thermal conductivity of the roads (contact with the atmosphere),Conductivité thermique moyenne des couches de matériaux composant les surfaces imperméables (contact avec l'atmosphère),Mean thermal conductivity of the layers of materials for impervious surfaces (contact with the atmosphere),real,W m⁻¹ K⁻¹,,,,,,,
TCRD,1198,,current,TEB,,2018-10-10,Conductivité thermique des routes (couche intermédiaire),Thermal conductivity of the roads (intermediate layer),Conductivité thermique moyenne des couches de matériaux composant les surfaces imperméables (couche intermédiaire),Mean thermal conductivity of the layers of materials for impervious surfaces (intermediate layer),real,W m⁻¹ K⁻¹,,,,,,,
TCRD,1197,,current,TEB,,2018-10-10,Conductivité thermique des routes (couche profonde),Thermal conductivity of the roads (deep layer),Conductivité thermique moyenne des couches de matériaux composant les surfaces imperméables (couche profonde),Mean thermal conductivity of the layers of materials for impervious surfaces (deep layer),real,W m⁻¹ K⁻¹,,,,,,,
TCRF,1199,,current,TEB,,2018-10-10,Conductivité thermique des toits (contact avec l'atmosphère),Thermal conductivity of the roofs (contact with the atmosphere),Conductivité thermique moyenne des couches de matériaux composant les toits des bâtiments (contact avec l'atmosphère),Mean thermal conductivity of the layers of materials for the roofs of buildings (contact with the atmosphere),real,W m⁻¹ K⁻¹,,,,,,,
TCRF,1198,,current,TEB,,2018-10-10,Conductivité thermique des toits (couche intermédiaire),Thermal conductivity of the roofs (intermediate layer),Conductivité thermique moyenne des couches de matériaux composant les toits des bâtiments (couche intermédiaire),Mean thermal conductivity of the layers of materials for the roofs of buildings (intermediate layer),real,W m⁻¹ K⁻¹,,,,,,,
TCRF,1197,,current,TEB,,2018-10-10,Conductivité thermique des toits (contact avec intérieur du bâtiment),Thermal conductivity of the roofs (contact with the building interior),Conductivité thermique moyenne des couches de matériaux composant les toits des bâtiments (contact avec intérieur du bâtiment),Mean thermal conductivity of the layers of materials for the roofs of buildings (contact with the interior of the building),real,W m⁻¹ K⁻¹,,,,,,,
TCWL,1199,,current,TEB,,2018-10-10,Conductivité thermique des murs (contact avec l'atmosphère),Thermal conductivity of the walls (contact with the atmosphere),Conductivité thermique moyenne des couches de matériaux composant les murs des bâtiments (contact avec l'atmosphère),Mean thermal conductivity of the layers of materials for the walls of buildings (contact with the atmosphere),real,W m⁻¹ K⁻¹,,,,,,,
TCWL,1198,,current,TEB,,2018-10-10,Conductivité thermique des murs (couche intermédiaire),Thermal conductivity of the walls (intermediate layer),Conductivité thermique moyenne des couches de matériaux composant les murs des bâtiments (couche intermédiaire),Mean thermal conductivity of the layers of materials for the walls of buildings (intermediate layer),real,W m⁻¹ K⁻¹,,,,,,,
TCWL,1197,,current,TEB,,2018-10-10,Conductivité thermique des murs (contact avec intérieur du bâtiment),Thermal conductivity of the walls (contact with the building interior),Conductivité thermique moyenne des couches de matériaux composant les murs des bâtiments (contact avec intérieur du bâtiment),Mean thermal conductivity of the layers of materials for the walls of buildings (contact with the interior of the building),real,W m⁻¹ K⁻¹,,,,,,,
Z0RD,,,current,TEB,,2018-10-10,Longueur de rugosité aérodynamique des routes,Aerodynamic roughness length for roads,Longueur de rugosité aérodynamique locale pour les surfaces imperméables,Local aerodynamic roughness length for impervious surfaces,real,m,,,,,,,
Z0RF,,,current,TEB,,2018-10-10,Longueur de rugosité aérodynamique des toits,Aerodynamic roughness length for roofs,Longueur de rugosité aérodynamique locale pour les toits des bâtiments,Local aerodynamic roughness length for the roofs of buildings,real,m,,,,,,,
Z0TW,,,current,TEB,,2018-10-10,Longueur de rugosité aérodynamique de la canopée urbaine,Aerodynamic roughness length for the urban canopy,,,real,m,,,,,,,
QHIN,,,current,TEB,,2018-10-10,Flux de chaleur sensible anthropogénique (canopée urbaine),Anthropogenic sensible heat flux (urban canopy),"Flux de chaleur sensible émis au sommet de la canopée urbaine par les activités anthropiques, telles que les émissions dues au chauffage et climatisation des bâtiments, et à l’industrie.",Sensible heat flux emitted at the top of the urban canopy by anthropogenic activities such as heating and air conditioning of buildings and from industry.,real,W m⁻²,,,,,,,
QEIN,,,current,TEB,,2018-10-10,Flux de chaleur latente anthropogénique (canopée urbaine),Anthropogenic latent heat flux (urban canopy),"Flux de chaleur latente émis au sommet de la canopée urbaine par les activités anthropiques, telles que les émissions dues au chauffage et climatisation des bâtiments, et à l’industrie.",Latent heat flux emitted at the top of the urban canopy by anthropogenic activities such as heating and air conditioning of buildings and from industry.,real,W m⁻²,,,,,,,
QHTR,,,current,TEB,,2018-10-10,Flux de chaleur sensible anthropogénique (rues),Anthropogenic sensible heat flux (streets),Flux de chaleur sensible émis au niveau des rues par les activités anthropiques telles que les émissions dues au trafic routier.,Sensible heat flux emitted at street level by anthropogenic activities such as road traffic.,real,W m⁻²,,,,,,,
QETR,,,current,TEB,,2018-10-10,Flux de chaleur latente anthropogénique (rues),Anthropogenic latent heat flux (streets),Flux de chaleur latente émis au niveau des rues par les activités anthropiques telles que les émissions dues au trafic routier.,Latent heat flux emitted at street level by anthropogenic activities such as road traffic.,real,W m⁻²,,,,,,,
TCAN,,,current,TEB,,2018-10-10,Température de l'air dans la rue canyon,Air temperature in the street canyon,Température de l'air dans la rue à mi-hauteur des bâtiments,Air temperature in the street at mid-building height level,real,K,,,,,,,
